id,transliteration,translation
13029,da-a-tum lu u-ku-ul-ti ANSE,"roadšadduātum tax, (costs for) donkey-fodder"
13030,i-na Sa-la-tû-a-ar,in Salatuar
13031,a-di Pu-ru-us-ha-tim,as far as Purushattum
13032,i-na Pu-ru-us-ha-tim,in Purushattum
13033,ú-ku-ul-ti ANSE X_0 sa-ha-ri-im,donkey-fodder and Y_0 food for the servant
13034,a-na qag! Ar-wa-na-ah-su,to Arwanahsu
13037,X_0 KB sa A-sur-na-da,Y_0 the silver Assur-nâdâ is bringing you
13038,na-ks-a-ku-nu-tí-ni ku-ta-ni,kutânumkutānum textiles
13040,KB tù-sé-bi-la-nim,You sent me silver
13041,AN.NA X_0 GÍN./TA,tin Y_0 a rate of 16 shekels
13042,URUDU-i-ni a-ba-ru-im,to be b.-ed together with our copper
13043,AN.NA is-tí URUDU-i-ni,tin with our copper
13044,URUDU-a-kà u-ba-ra-ma KB-pì,I will b. your copper and collect the silver
13045,URUDU-kà i-sa-an-tí a-sar ba-ru-um,your copper is until the present day; I will b. it when there is an opportunity to b.
13047,i-na É kà-ri-im,in the karum-Office
13048,sa kà-ú-ni-im,to be k.-ed
13049,A-sùr-na-da i-lk-qé,Assur-nâdâ will collect
13050,ki-ma URUDU,like copper
13051,X_0 kà-ú-nim,Y_0 be k.-ed
13052,a-na SIG5 lu nu-ta-er,for fine (copper)
13053,a-wa-at kà-ri-im,karum ruling
13054,X_0 kd-a-nim,Y_0 be k.-ed
13055,a-na URUDU kd-ú-nim,to k. copper
13058,X_0 kd-ú-nim,Y_0 be k.-ed
13060,X_0 URUDU sa É.GAL-lim,Y_0 the copper (owed by) the palace
13061,A-sur-SIPA il5-qé,Assur-ré'i received
13062,sa-da-li URUDU,copper ingots
13063,sí-im ANSE,as price of the donkey
13064,a-na É E-ra-dí a-li-ik-ma,I went the Erâdi's house
13065,2 i15-lu ku-nu-ku-su,2 bags with his seals
13066,40 X_0 sa-pi-ik,40 Y_0 (of copper) were stored
13067,a-na KB X_0 GÍN a-gu5-ur-ma,"for silver, Y_0 1 shekel (each as wages)"
13068,X_0 X_0 URUDU SIGs ag-ra-am a-gus-ur-ma,Y_0 Y_0 a hireling for 1 mina of good quality copper
13069,7 GÍN KB X_0 sa URUDU ub-lu-u-ni a-di-in,I paid 7 Y_0 of silver to those who brought the copper
13070,1/3 X_0 KB is-ta Ka-ni-is a-di Wa-as-ha-ni-a a-sa bi-la-tim a-di-in,I Y_0 1/3 mina of silver from Kanish to Washania for porters
13071,17 1/3 GÍN KB is-ta Wa-as-ha-ni-a a-di u-la-ma a-sa bi-la-tim a mat-ad-di-bi-a a-di-in,17 1/3 shekels of silver I paid from Washania to Ulama for porters and for my guide
13075,X_0 3 i-Ik-tim 7 X_1 GÚ T 1/2 ma-Ina 8 [URUDU is]-ni-qú,Y_0 established that the Y_1 bags contained 3 talents and 7 1/2 minas of copper
13076,44 ma-na URUDU si-kam 6 i-lu-um . ku-nu-ku-a 7 a-di-i (<gap>) 9 a-to-ra-ni . X_0 10 É [be-tt]-kd . li -ib-si,"Let 44 minas of sikkum copper, (in) a bag under my seals, remain in Y_0 house until I return"
13077,12 i-la-tum SA.BA 2 11 i-la-tum sa Mki-11m X_3 X_5 i-lu-um sa . ma-si-im 4 a-ha-ma 15 ma-na 5 ma-si-um X_0 X_0 si-ku-um 6 hu-ur-si-a-nì 7 sa qa-ti-a,"12 bags, consisting of 11 bags with sikkum Y_3 Y_5 1 bag with refined copper; furthermore 15 minas of refined Y_0 Y_0 15 minas of sikkum (copper) in packages, for my expenses"
13078,ur-kd-num 6 GÚ ma-si-am 19 X_2 X_2 GÚ si-kam (<gap>) 21 i-na e-re-gi-im . X_1 22 Pu-ru-us-ha-tim A-la-Mt-um 23 a Wa-li-a . ub-lu-sum 24 21 X_0 ig-ri e-re-qi-im 25 32 1/2 ma-na . a-qa-ti-su-nu 26 a-di-in,"Subsequently, 6 talents of refined Y_2 Y_2 14 talents of sikkum (copper), (<gap>) Alahum Y_1 Walia brought to him in Purushattum by wagon. 21 minas Y_0 paid for) the rent of the wagon; 32 1/2 minas I gave (them) for their expenses"
13079,a-wi-lu a-nu-tutu,his servants
13080,GAL hu-ur-sa-tim,head of the storehouses
13081,e-mu-qa-tam e-pu-us-ni-a-ti,maltreated us
13082,X_0 É.GAL-lì-su . u-se-li-ma,Y_0 to his palace
13083,i-hu-ur-§i-im . ik to na /ak,locked (it) away (sealed) in a storehouse
13084,a-sar . É-tim sa-si-ri,foremost strongroom
13085,X_0 hu-ur-si-itu,Y_0 the hursum
13086,ta-ks-pu-ra-ani . ion-ma,You wrote me as follows
13087,di-in hu-ur-sa-am,opened the storehouse
13088,a-na É-ti-kd . né-ru-ma,We entered your house
13090,pa-at-ri sa sa-hi-zu,daggers concerning which I gave instructions
13091,e-rû-rum pit-qum,refined copper
13092,URUDU bi-it-qa-/t[um],copper losses
13093,ma-na URUDU SIG5,minas of fine copper
13102,a-na Pu-su-ke-en,Speak to Pigu-kén
13104,sú pa-ni sa ZABAR,bronze s.-bowls
13105,su-pa-nam sa ZABAR,bronze s.-bowl
13106,it-qú-ra-am sa ZABAR,bronze ladle
13107,it-qú-ra-tim sa ZABAR,bronze ladles
13108,su-pi-nam sa KB,silver s.-bowl
13109,a-na Mu-za u Pu-su-ke-en,Speak to Muza and Pusu-kén
13110,um-ma La-ma-sa-ma,thus says Lamagga
13111,a-lu-na-tum sa si-pa-ri,bronze a.-s
13112,su-pa-nu ma-mi-ri,s.-bowls mamiru
13119,X_0 X_0 ma-na-i-a X_1 ta-ki-tkm,Y_0 Y_0 mina Y_1 3 brought back to
13120,X_0 X_0 ma-na-im,Y_0 Y_0 mina weight
13121,i15-qé 1/2 GÍN.TA a-sé-er ma-na-im ta-ur,weighed 1/2 shekel has been brought back to (each) mina
13122,i-na 1 ma-na-im,per mina
13123,i-to-ki-is na-sí,interest was charged
13132,i-1 ma-na-im sa kà-/ri-im,per mina of market price
13135,a-ba-an ma-tim,according to the Anatolian weight-stone
13136,KISIB I-ku-pt-a DUMU A-sùr-ba-ni,Seal of I-kupta son of Assur-bani
13137,KISIB Puzur4-A-sur DUMU Su-Be-rim,Seal of Puzur-Assur son of Su-Berim
13138,KISIB DOG-f-if-A-sur DUMU Puzur2-dMUS,Seal of [name]-Assur son of Puzur-[deity]
13139,KISIB Ma-num-ba-lúm-A-sur DUMU A-sur-ma-lik,Seal of Manumbalum-Assur son of Assur-malik
13140,a-Za-al-pa a-na pa-ni sú-ha-ri sa dIM-ANDUL DUMU Ku-us-ku-si-im,"(Silver and sundries) I sent to Zalpa, to the servant(s) of Adad-sulùli son of Kuskusum"
13141,i-na Pu-ru-us-ha-tim a-na É dIM-sú-lu-li né-ru-ub-ma um-ma Bu-is-zu-ma a-na dIM-sú-lu-li-ma X_0 X_1 KB En-nam-A-sur DUMU Ú-zu-a si-im pè-er-di da-mu-tìm ha-bu-lam me-eh-ra-tim di-na-ma KB-ka En-nam-A-sur li-di-na-kum,"In Purushattum we entered Adad-suldlis house, and Buzâzu said to Y_0 Y_1 son of Uzua owes me 4 minas of silver, the proceeds of perdum-animals and amútum-mineral; give me its equivalent and let Ennam-Assur (then) give your silver (back) to you."""
13142,kd-ru-um Wa-ah-su-sa-na sa-he-er GAL dt-nam i-di-ma Bu-za-zu a-na dIM-sú-lu-li i-sa-ba-at-ma i-sa-al-l.fu-ma e-pd-al-su-ma a-dIM-sú-lu-li Bu-za-zu i-sa-al-ma Bu-za-zu e-pk-al-su-ma,"The plenary assembly of the kànan of Wahsusana gave a verdict: Buzâzu can seize 3 people (as witness) against Adad-sulúlì and interrogate him and he (= A-e.) will answer him; also Adad-sululi will interrogate Buzâzu, and Buzazu will answer him"
13144,i-na Kd-ni-ts,in Kanish
13145,sa hu-bu-li-a,my debt-nOtes
13146,sa tù-sé-$a-/ni-ni,that you will obtain
13147,um-ma su-nu-ma,They said
13148,a-di dIM-sú lu /li a dIM-SIG5 si-ma-tim,"Until you, Adad-sulùli and Adad-damiq, convey"
13153,li-mu-um Sou-Sú-in,year-eponym Sü-Suen
13154,kà-ru-um Wa-ah-su-sa-na,kârum of Wahsusana
13155,a-na dIM-su lu li qi-bi4-ma um-ma A-da-a-ma,"Speak to Adad-sulúlï, thus (says) Adâya"
13156,X_0 41 TOG ku-ta-ni sa ta-kp-qt-da-ni,Y_0 of the 41 kutânumkutānum textiles that you entrusted to me
13157,28 TOG ku-ta-ni a-na-ku a sa ki-ma ku-a-ti X_0 I-di-Istar ni-di-lin,I and your representatives gave 28 to Iddi(n)-Istar
13158,12 TOG X_0 is-ti-a si-im-su-nu is-ti tam ka ri im,12 kutanumkutānum Y_0 are still with me (= I owe their price to you). Their proceeds are with a retailer
13159,X_0 11 ma-na URUDU SIG5 a-na Til-i-mì-im DUMU Zu-gi-li A-ld-hu-um i-di-in,Y_0 gave a k.-textile for 11 minas of fine copper to Tu'imum son of Zugili
13160,um-ma A-ld-hu-um-ma 1-di--Istar X_0 A-da-a-lma a-na dIM-ANDUL qi-bi-ma um-ma I-di-Istar-lma,"Thus (say) Alahum, Y_0 and Adaya, speak to Adad-sulílï, thus speaks Iddi(n)-Istar"
13161,a-na dIM-sú-lu-li,Speak to Adad-sulúlí
13162,urn-ma A-da-a-ma,thus (says) Adaya
13163,X_0 1 1 TOG.HI.A,Y_0 the 11 textiles
13164,sa tam-kā-ri-im,of the retailer
13165,X_0 TOG.HI.A . to-ad-nu,Y_0 have been sold
13166,5 TOG.HI.A . i-ba-si-ú,5 are still on hand
13167,a-na URUDU-im . i-tō-ru-ma,When they are converted into copper
13168,a-na dIM-sú-lu-li X_0 Ki-ki-da-nim qi-bi-ma,Speak to Y_0 and Kikidanum
13169,21 1/2 ma-na URUDU SIG5,21 1/2 minas of fine copper
13170,E-ri-sa-am DUMU A-mur-dUTU,EriSum son of Amur-SamaS (= debtor)
13171,15 GÚ 52 X_0 URUDU,15 talents 52 Y_0 of poor copper
13172,sa Tur-hu-mì-it,of Turhumit
13173,urn-ma La-di-a-ma,Ladia said
13174,a-na dIM-sú-lu-li-ma,to Adad-sulúlf
13175,si-im TOG.HI-tt-a URUDU SIG5 di-nam,Give me fine copper as proceds for my textiles
13176,urn-ma dIM-sú-lu-li-ma,Adad-sulul replied
13178,a-na Puzur-A-sur qi-bi-ma um-ma I-ku-pi-a-ma ta-as-pu-ra-am um-ma a-ta-ma si-im TOG ku-to-lni 5 sa X_0 dIM-sú-lu-li URUDU li-di-nu-ni-kum,"Speak to Puzur-Aṡsur, thus says Ikuppia: you wrote me as follows: ""Let Adad-sululi's Y_0 give you copper as proceeds of 5 kutânumkutānum textiles."""
13179,I-di-Istar e-ri-is-ma X_0 I-di-Istar-ma mi-ma URUDU-su sa dIM-sú-lu-li la u-ka-al,"I demanded Y_0 here from Iddi(n)-Istar, but he said: ""I do not possess any copper belonging to Adad-sulúli."""
13180,dIM-sú-lu-li a-ri-is si-im KB da-nim I-di-Istar e-ri-is-ma um-ma su-ut-ma URUDU a-qa-ti-a X_0 ma-qi-it,"Ask Adad-sululi over there! I also demanded the proceeds of the Y_0 silver"" from Iddi(n)-Istar, but he said: ""I did not obtain copper."""
13181,1 a-na dIM-ANDUL 2 oi-bi-ma X_3 3 Su-Be-lum-ma URUDU-a-kd X_0 X_0 X_1 12 1/2 GÍN.TA 5 a-na KB to-di-in 6 ANSE.HI.A a-na 7 62 X_5 URUDU to-di-in 8 a-ma-la té-er-tt-kd 9 URUDU-i al-qe 10 X_7 ma-na URUDU DIRI 11 a-di i-zi-zu-<ni> 12 a-na SE-im u ti-ib-nim 13 as-qul,"Speak to Adad-sulùli, thus (says) Y_3 your copper has Y_0 Y_0 Y_1 a rate of 72 1/2 shekels of copper per shekel of silver, Y_5 donkeys (sold) for 62 minas of copper. In accordance Y_7 your instructions I took my (share of the) copper. I paid 2 minas of excellent copper for barley and straw as long as (the donkeys) were standing."
13182,1 kd-ru-um Wa-ah-su-sa-na 2 sa-he-er GAL 3 di-nain i-di-ma 4 ITU.KAM té-i-na-tim X_0 li-mu-um Su-Su-in 6 DUMU Ba-bi-lim fu-ma 7 URUDU sa dIM-ANDUL 8 Ba-al-Iil-a 9 i-na Sa-lk-ta-ar 10 is-ba-at,"The plenary session of the kàrum of WahsuAana passed this verdict: date: Y_0 10, year-eponym Sú-Suen son of Babulum; if Baltua has taken copper beloaging to Adad-sulitli in Salatuar (Adad-sulúli will present his terms and they will produce their witnesses)."
13183,1 dIM-su-lu-li 2 at Ba-al-Iû-a i-na 3 mì-ig-•a-ti-su-nu 4 is-bu-tit-ni-a-ti-ma 5 X_0 dIM-ANDUL-ma 6 a-na Ba-al-Iù-a-ma 7 5 1/2 GÚ URUDU ma-si-am 8 X_5 Sa-la-td-ar 9 is-ti dUTU-e-nam 10 kd-sa-ri-a 11 ta-ak-la-a 12 su-ma URUDU X_3 X_2 URUDU-i-a i-tit-ar 14 1/2 ma-na.TA X_6 X_1 1 GÍN.TA KB a-ma-la 16 di-in kd-ri-im 17 to-sa-qk-lam,"In mutual agreement Adad-sulúlf and Baltua seized us, and Adad-sulúli said Y_0 Baltua: ""You withheld in Salatuar 5 1/2 talents of refined copper Y_5 my transporter Samas-ennam. If it is proved that this copper is Y_3 Y_2 will pay me (silver for Y_6 Y_1 at a rate of 30 shekels of copper per shekel of silver, in accordance with the kârum verdict."""
13184,1 10 GÚ URUDU ma-si-am 2 dIM-su-lu-li 3 X_1 Pu-ru-us-ha-/tim 4 a-na I-di-Sa-in 5 i-da-an-ma X_2 X_0 re-ell s 7 URUDU-i-su X_3 X_3 X_3 KB sa-ru-pa-am 9 1-di-Su-in 10 a-na dIM-su-lu-li 11 i-sa-qal,"Adad-sulúli will give 10 talents of refined copper Y_1 Iddi(n)-Suen in Purughattum, and at the Y_2 Y_0 (he accepts) his copper, Y_3 Y_3 Y_3 Adad-sulúli 12 minas of refined silver."
13185,1 a-na I-dl-A-sur qi-bio-ma 2 [um]-ma Puzur4-Istar-ma 3 [sa]-zu-uz-ta-kd 4 1a'-zi-iz-ma 4 GÙ URUDU la-mu-num 5 sa dIM-su-RNDUL iL-hi-ib-la-ku-ni X_1 X_0 URUDU a-si-ti-kd 7 sa-qu-ul,"Speak to Iddi(n)-Assur, thus Puzur-Istar: I acted as your representative and collected the 4 talents of poor copper that Y_1 Y_0 you; the copper has been paid for various expenses of yours."
13186,i-nu-mì A-sur-DÙG is-tat a-lim-kâ e-li-a-ni X_0 GÚ AN.NA ku-nu-ki sa a-lim-kâ X_1 dIM-su-lu-li IGI A-sur-DÙG i-sa-kâ-ma a-sal-si-su i-ma-hu-su-ma 20 ma-na AN.NA A-sur-DÙG i-la-qe-ma 3 GÚ 20 ma-na URUDU SIG5 sa-bu-ra-am is-tat u4 a-mi im sa AN.NA i-la-qe-u a-na ITU.2.KAM i-na Tur4-hu-mì-it A-sur-DÙG a-na sa-qal,"When Assur-tab turns up from Y_0 trip to the City, Adad-sulúli Y_1 put before him 1 talent of tin, still bearing the City's seals, and they will divide it into three parts and Assur-tab will take 20 minas of tin; after 2 months from the day when he received the tin, he will pay to Adad-sulúli in Turhumit 3 talents 20 minas of broken fine copper."
13187,53 X_1 URUDU sa 2 Nib-na-sa-a-a X_4 i-se-er Im-lik-a-a 4 Ga-za-a z2 Nu-ih-sa-tim 5 dIM-su-lu-li 6 i-sac is-tat ITU.KAM 7 ab-sa-ra-ni 8 li-mu-um 9 A-gur-i-mì-ti 10 a-na sa-na-at 11 i-sa-qal URUDU i-qa-qa-ad X_6 salam-su-<nu> ra-id-is sú-ma la is-qu-ul X_0 X_0 X_0 ka-ri-im 14 si-ib-tam u-sa-ab 15 URUDU a-num is-tû X_8 30 ma-na URUDU sa-aq-lu 17 a-su-mi Ga-za-a 18 X_3 53 ma-na URUDU 19 a-su-mi Ga-za-ma 20 Im-lik-a-a 21 qa-ta-tum,"Adad-sulúli Y_1 53 minas of copper Y_4 Ninasa as a claim on Imlikaya, Gaza, and Nuhsatum. (Gaza) will pay within one year from month 5, year eponym Assur-imitti. The obligation to pay Y_6 the copper is upon whoever Y_0 Y_0 Y_0 solvent. If he does not pay, he will Y_8 interest according to the rate decreed by the Y_3 This copper is (the amount) after 30 minas had been paid; on behalf of Gaza; and the 53 minas of copper are also on behalf of Gaza; Imlikâya is guarantor."
13188,1 GÚ AN.NA su-uq-lams,"1 talent of tin, a suqlum-load"
13189,2 X_0 sa Ma-ma-hi-ir,sealed Y_0 Man-mahir
13190,3 sa kâ-ru-um Wa-ah-su-sa-na,which the kârum of Wahsusana
13191,4 X_0 ni-pi-il-ti Ma-ma-hi-ir,for Y_0 balance payment due from Man-mahir
13192,17 GÚ 47 ma-na 11 URUDU X_0 si-ba-ti-su,17 talents 47 minas of copper Y_0 (including) the interest on it
13193,X_0 La-di-a-ma . a-na dIM-ANDUL-ma . ṭi-im TOG.HI-ti-a URUDU SIGs . di-nam,"Y_0 said to Adad-sululi: ""Give me fine copper as proceeds of my textiles (<gap>)"""
13194,33 TUG ku-ta-ni û X_0 TOG SIGs,33 kutânumkutānum textiles and Y_0 textile of good quality
13195,133 TUG sa 30 ma-na.TA tal-qe-u,33 textiles that you took (= agreed to pay me) at 30 minas (of copper) a piece
13196,1 TOG SIG5 sa 1 GÍN 30 X_0 URUDU tal-qé-ú,1 textile of good quality that you Y_0 at 90 minas of copper
13198,DUMU I-di-Su-in,son of Iddi(n)-Suen
13199,X_0 1/2 ma-na URUDU ma-si-a-am,Y_0 1/2 minas of refined copper
13200,X_0 I-la-nim ka-sa-ri-a ha-bu-la-ti,Y_0 my transporter Ili-Anum
13201,1 me-at 30 X_0 URUDU,130 minas of Y_0
13202,2 ii-na wa-ar-du-u Ke-num-wa-qa-ar û Hu-ut-kd,"Two slaves, Kénum-waqar and Hutka"
13203,31 X_0 URUDU SIGs,31 Y_0 of fine copper
13204,a-na É dIM-sú-lu-li,Adad-sulüli's house
13206,a-na dIM-su-lu-li-ma,to Adad-sulüli
13207,ma-na URUDU ma-si-am,minas of refined copper
13208,"i-,se-er Si-la dIM",as a claim on Sill-Adad
13209,URUDU sal-ma-am,full amount of copper
13210,ki-ma TÚG.HI.A la né-pu-su is-té-na-ma A-sur-dUTU-si na-as-a-kum a-ni is-ti wa-ar-ki-a-ti-im is-té-en tì si-na TUG u-sé-ba-la-kum,"Because we did not produce textiles, Assur-Iamsi is bringing you only one. Now, with the next caravan I shall send a few textiles to you"
13212,a-na-kam a-wa-tt-a is-ti X_0 X_0 a lni a,I have just Y_0 Y_0 affairs with my investors
13213,a-na A-h-hi-im qi-bi-ma,Speak to Alahum
13214,um-ma Aššur-be-el-sa-du-e-ma,thus (says) Assur-bēl-ṣādue
13215,a-na-kam Aššur UTU-šu mu-ut Aššur-tāb,"here, Aššur-samsi has heard of Aššur-tab's death"
13216,KÙ-ap-ka X_0 KÙ-pí-su is-ta-kka um-ma,"he Y_0 taken possession of your silver, saying"
13217,su-ut-ma KÙ i-na-um-ma,The silver is mine
13218,X_0 si-be-e ni-is-ba-sú-um-ma,Y_0 took three witnesses
13219,X_1 X_0 té-er-ti Aššur-tāb a-na luq-qú-tim,Y_1 Y_0 in accordance with Aššur-tab's instructions
13220,ú-la ta-az-ku,you have not settled accounts with us
13221,um-ma su-ut-ma mi-ma is-ti ku-nu ú-la az-ku,I have settled nothing with you
13222,a-na Pu-ru-us-ha-tim,to Purushattum
13225,X_0 Ú-ia-ma,Y_0 went from Ulama
13226,I X_0 X_0 X_0 10 shekels of silver with Bélia and Dudaya X_2 X_2 purchases with; Bélia owes 22 minas of copper,8 Y_0 Y_0 Y_0 KB 2 a-na Be-li-a it Du-da-a 3 a-si-mì-im Y_2 Y_2 e-zi-ib 22 ma-na 5 URUDU is-ti Be-li-a
13227,"Alabum son of Sú-Dibar X_2 X_0 X_2 of silver and X_1 X_3 of fine copper, Puzur-Ana son of Gatum being guarantor; he will pay within 3 weeks, if he doesn't pay, he will add (interest) according to the rule of the kârum",1 ma-na KB ú Y_2 Y_0 Y_2 SIG5 KI A-la-bi4-im Y_1 Y_3 DUMU Ga-a-ti-im qa-to-tum a-3 ha-am-sa-tim i-sa-qal su-ma la is-qúl ki-ma a-wa-at ka ri im ú sa kb
13228,"Assur-bél-awatim son of Su-Anim owes X_1 minas of silver, he will add (interest) X_0 X_0 the rule of the kârum; furthermore: 1 talent of fine copper",3 ma-na KB KI A-sir-be-el-a-wa-tim Y_1 Id-ma a-wa-at kd-ri-im et-a-ab ú a-ha-am-ma 1 Y_0 Y_0 SIG5
13233,a-na TÚG.HI.A sa té-zi-ba-ni a-na-kam sí-mu-um la-su mì-li-ik TÚG.HI.A mi-li-ik,For the textiles you left behind with me there is no market here. Decide what to do with the textiles.
13234,X_0 80 ma-na URUDU É ka-ri-im Pu-ru-us-ha-tim a-la-qe,Y_0 can collect 680 minas of copper in the karum-office in Puruhattum.
13235,sa X_0 GO 54 ma-na URUDU si-ki-im sa té-zi-ba-ni 2/3 ma-na 5 1/2 GIN KB-ap-su,Of Y_0 1 talent 54 minas of sikkum copper which you left with me the (proceeds) in silver are 45 1/2 shekels.
13236,X_3 A-la-hi-im DUMU Ma-nu-a qi-bi-ma um-ma Ta-ha-sa-li-ma 5 GÚ 10 X_0 URUDU ma-si-lam a-di-na-kum X_2 a-ta-ma KB 1 GÍN lu-sé-li-a-kum a-ta KB a-na Kd-ni-is ta-ta-ba-al a-hi a-ta su-ma si-ma-am sa ba-Id-li-a Ia ta-ds-a-ma-am si-ma-am sa ta-ks-1d'-mu se-big-lam su-ma KB i-ba-si KB X_1 A-sur-DÙG di-in,"Y_3 to Alahum son of Mannua, thus (says) Tahasa(i)li: I Y_0 5 talents 10 Y_2 of refined copper to you. You said: ""I will earn for you the silver, every shekel (of it)."" But you have just moved the silver to Y_1 My dear brother, if you did not buy profitable merchandise for me, send me whatever you bought. If silver is left over, give it to Asur-tâb."
13237,35 ma-na URUDU si-im X_0 ANSE i li bi su,"And (Adada) owes 35 Y_0 of copper, proceeds of 1 donkey."
13238,32 1/2 X_0 URUDU si-im ANSE.HI.A a-qa-ti-su-nu a-di-in a-ma-kam lu-ba-li-td-ni-kum,"I gave Y_0 32 1/2 minas of copper, for the purchase of donkeys, for their expenses, let them credit it to you over there."
13239,ANSE-ka X_0 27 ma-na URUDU ta-di-in,Your Y_0 was sold for 27 minas of copper.
13240,TÚG.HI-ti a.sa i-sepi-a.u se ri/ba X_0 X_0 e-kal-lim a-cii-su-nu-ma 4 li-me URUDU.na-ad-a-ku,"I sold my textiles which Y_0 Y_0 in with my transport, to the palace and am now credited for 4,000 (minas of) copper."
13241,a-na 1m-di-lim qi-bi4-ma um-nw Ah-sa-lim-ma i-na ba-lab-tim sa Puzur4-A-sur 8 GÚ 40 X_0 X_0 sú-ha-ri-im,"Speak to Imdilum, thus (says) Ah-salim: from Puzur-Asur's outstanding claims (I gave?) Y_0 Y_0 40 minas to the servant."
13243,lu a-wi-ld-ti ki-ma a-wi-[lu-ti]-kd KB 10 ma-na pd-ni-am-ma sa te-pu-su ab-kd-ma ma-a§-kd-ta-kd a-na a-limki ku-su-ud URUDU sa i-a-ti X_0 Su-A-siir sa i-na E.GAL-lim ur-da-ni a-ta i2 sa ki-ma A-su[r-] X_1 KB di-na-su-ma [ku-u]n-kd-ma se-[bi-la-nim],"Be a man and act accordingly by sending me the first silver, 10 minas, you acquire, and let Y_0 cash comse to the City. You and Assur-[ Is agent Y_1 sell my and Sù-Asur's copper that came down from the palace for silver and send (it) to me uader seal."
13244,a-di URUDU.sa A-mur-!star X_1 sa ki i-a-ti URUDU i-na Pu-ru-us-ha-tim ta-da-nam ú-la i-mu-/u ha-ra-ni.a-na [P]u-ru-us-ha-tim i-na X_0 tup-pt-i ta-sa-me-u na-as-am A-anur-!star ú Lu-lu URUDU li di nu nim ma KB i-pk-ni-a lu-se-si-a-ku-um,"As for Amur-Istar's Y_1 he refused to hand it over to my representatives in Purushattum. I Y_0 set out for Purushattum; on the very day you read my letter, I will be on my way! I hope that Amur-Istar and Lulu will meet me and give me the copper; I will personally send you the silver."
13245,a-na Im-di-DINGIR oi-bi-ma um-ma Ku-ra-ra-ma 6 1/2 GÚ URUDU 16-mu-nam sa A-zu DUMU A-mu-ur-Sú-[en] it I-ku-pt-a DUMU 1li5-ta-ar X_1 sa Puzur4-A-sur i-na be-ti-a i-ni-di-ú-ni A-sur-DOG DUMU A-lk-hi-ian is-pu-ra-ma a-ma-la te-er-ti-ìu X_0 X_2 Amur-Istar ap-qi-id,"Speak to Imdilum, thus (says) Kurara: (as for) 6 1/2 talents of copper sealed by Puzur-Asur that was Y_1 in my house<gap> Assur-tab son of Alâhum wrote to me and Y_0 Y_2 letter I delivered the sealed copper to Amur-Istar"
13246,Ia-ma tup-pk-kd sa se-ep,Before I had heard your letter that arrived
13247,5 GÚ URUDU ma-si-am,5 talents of refined copper
13248,i-sé-[er DA]M.GÀR ke-nu-tim sa wa-ar-hi-sa-/ma,to trustworthy retailers who pay me monthly
13249,a-na Im-di-DINGIR . oi-bi-ma um-ma,"Speak to Imdilum, thus (says)"
13250,Ú-zu-a-ma is-ta a-na Ku-na-na-mt-it e-ru-bu-ni-ma,Uzua: since I entered Kunanamit
13251,10 GÚ URUDU ma-si-am,10 talents of refined copper
13252,a-su-mì URUDU sa A-sur-na-da,As for Assur-nâdâ's copper
13253,3 GO URUDU <SIGs>,3 talents of fine copper
13254,5 GO 40 X_0 URUDU,5 talents 40 Y_0 of copper
13256,12 GÚ 20 X_0 URUDU,12 talents 20 Y_0 of copper
13257,um-ma A-du-ú X_0 I-ku-pi-a-ma i-na U-la-ma wa-as-ba-ni a-ma-la te-er-ti-ka URUDU a-na KÙ.BABBAR ni-da-am ni-it-bi-ma ni-ta-la-ak,Thus Adu Y_0 Ikuppia: we are staying in Ulama. In accordance with your instructions we will sell the copper for silver and leave.
13258,a-jar ta-sa-pa-ra-ni URUDU si-im TÚG.HI-ti-ká la-di-in,I will sell the copper (which is) the proceeds of your textiles wherever you order me to do it.
13259,32 ku-ta-ni 40 ma-na.TA i-na Pu-ru-us-ha-tim E-nu-Be-lúm X_0 É.GAL-tim i-din,"32 kutânumkutānum textiles at 40 minas each Y_0 Purushattum, Ennu-Bélum gave to the palace"
13260,X_2 Im-di-lim qi-bi-ma um-ma A-mur-Istar-ma a Ú-zu-a-ma u-nu-tum X_5 E.GAL-lim e-ru-ub-ma 17 TOG ma-ku-hi sa Puzur-A-sur 3 TUG ku-a-ú-tim É.GAL-lum 20 ma-na.TA a-na si-mì-im il-qe 2 me-at 20 ma-na URUDU ma-as-am É.GAL-lum a-na sa-na-um ils-qe-ma URUDU i-na É ká-ri-im ni-la-qe-ma URUDU si-im TOG.HI.A tl URUDU SIG5 u-ma-ma É.GAL-lum ú-sa-bi-ni-a-ti-ma X_3 X_3 sa na-am-e-dim la i-di-ni-a-ti li-ba-ka la i-ma-ra-as i-na TOG.HI.A sa ta-da-nim X_0 lu AN.NA lu URUDU ni-da-ma KB 10 X_1 né-pa-as-ma is-ti wa-ar-ki-u-tim A-du-ú ni-ta-ra-dam,"Y_2 to Imdilum, thus (say) Amur-Istar and Uzua: Y_5 merchandise entered the palace and the palace bought 17 m.kutānum textiles of Puzur-Assur and 3 of your's at 20 minas (of copper) each. (For a value of) 220 minas of refined copper the palace bought (wool) at a rate of Y_3 Y_3 (it was agreed that) we collect the copper in the kârum-office. Y_0 this very day the palace has satisfied Y_1 with the copper as payment for the textiles, and with the fine copper, but it did not give us anything for those of the bulk (of the merchandise). Don't worry! As many textiles as possible have been sold. We will sell both tin and copper and obtain silver, about 10 minas, and send Adu (with the silver) with the next caravan."
